,rank,name,league,total_goals_(2016-2023),spi
40,41,FC Salzburg,Austrian T-Mobile Bundesliga,854,72.91
41,42,FC Cologne,German Bundesliga,778,72.57
42,43,Tottenham Hotspur,Barclays Premier League,975,72.14
43,44,Rangers,Scottish Premiership,806,71.98
44,45,Eintracht Frankfurt,German Bundesliga,851,71.61
45,46,West Ham United,Barclays Premier League,825,71.12
46,47,Atalanta,Italy Serie A,956,71.05
47,48,VfL Wolfsburg,German Bundesliga,719,70.86
48,49,Juventus,Italy Serie A,914,70.36
49,50,Torino,Italy Serie A,729,70.34
50,51,Sevilla FC,Spanish Primera Division,889,69.76
51,52,Mainz,German Bundesliga,700,69.33
52,53,Palmeiras,Brasileiro Série A,601,69.02
53,54,Valencia,Spanish Primera Division,764,68.68
54,55,Lazio,Italy Serie A,978,68.63
55,56,Fulham,Barclays Premier League,701,68.22
56,57,Besiktas,Turkish Turkcell Super Lig,779,68.14
57,58,Celta Vigo,Spanish Primera Division,736,68.08
58,59,Nice,French Ligue 1,700,67.86
59,60,VfB Stuttgart,German Bundesliga,590,67.66
60,61,Borussia Monchengladbach,German Bundesliga,799,67.64
61,62,Galatasaray,Turkish Turkcell Super Lig,682,67.53
62,63,AZ,Dutch Eredivisie,704,67.2
63,64,Girona FC,Spanish Primera Division,605,67.11
64,65,Real Betis,Spanish Primera Division,794,66.95
